0.147459075,0.7592195,-0.00103236,-0.202177175,0.72840425,1.44114675
0.147074925,0.761311925,-0.000859141,-0.202166875,0.72807555,1.44096175
0.146556933,0.762987533,-0.000521054,-0.201913433,0.728668133,1.440824667
0.14662885,0.7624527,-0.001134031,-0.2018098,0.728950275,1.44080025
0.14701,0.7606989,-0.002554139,-0.200982333,0.7288565,1.44012
0.147426225,0.7599662,-0.003934607,-0.178691225,0.728391575,1.429807
0.147676625,0.759188925,-0.005230702,-0.1375846,0.880425,1.38307875
0.143633433,0.7637589,-0.003840278,-0.126100733,0.969576233,1.219692
0.12081905,0.7974276,0.059116684,-0.1511023,0.880962625,1.072277
0.112301967,0.908093633,0.198749167,-0.131759433,0.815647833,1.154124667
0.018451958,1.115382,0.3038362,-0.1363042,0.8112008,1.2315595
0.012434503,1.03714,0.4566246,-0.172127025,0.80055485,1.29433225
-0.03449743,0.96720355,0.359230225,-0.181186567,0.804989133,1.343383667
-0.236441375,1.0622845,0.277444525,-0.189060225,0.79137615,1.3840815
-0.269275233,1.014959033,0.213055,-0.185757467,0.772027233,1.415049333
-0.2920485,0.9566907,0.1775124,-0.1841549,0.755766575,1.42742425
-0.269051875,0.990865575,0.091547405,-0.1925856,0.7389929,1.4384305
